Ee (keV), d\omega/dEe
1,5.82845198435322e-32
1.1,5.82776959528794e-32
1.2,5.82708721353588e-32
1.3,5.82640483913691e-32
1.4,5.82572247213097e-32
1.5,5.82504011255801e-32
1.6,5.82435776045806e-32
1.7,5.82367541587117e-32
1.8,5.82299307883746e-32
1.9,5.82231074939709e-32
2,5.82162842759024e-32
2.1,5.82094611345718e-32
2.2,5.82026380703819e-32
2.3,5.81958150837362e-32
2.4,5.81889921750386e-32
2.5,5.81821693446935e-32
2.6,5.81753465931056e-32
2.7,5.81685239206804e-32
2.8,5.81617013278235e-32
2.9,5.81548788149412e-32
3,5.81480563824402e-32
3.1,5.81412340307277e-32
3.2,5.81344117602114e-32
3.3,5.81275895712994e-32
3.4,5.81207674644003e-32
3.5,5.81139454399232e-32
3.6,5.81071234982776e-32
3.7,5.81003016398737e-32
3.8,5.80934798651218e-32
3.9,5.8086658174433e-32
4,5.80798365682188e-32
4.1,5.8073015046891e-32
4.2,5.80661936108622e-32
4.3,5.80593722605452e-32
4.4,5.80525509963533e-32
4.5,5.80457298187005e-32
4.6,5.80389087280011e-32
4.7,5.80320877246699e-32
4.8,5.80252668091222e-32
4.9,5.80184459817738e-32
5,5.8011625243041e-32
5.1,5.80048045933404e-32
5.2,5.79979840330894e-32
5.3,5.79911635627057e-32
5.4,5.79843431826074e-32
5.5,5.79775228932133e-32
5.6,5.79707026949424e-32
5.7,5.79638825882146e-32
5.8,5.79570625734499e-32
5.9,5.79502426510689e-32
6,5.79434228214928e-32
6.1,5.79366030851432e-32
6.2,5.79297834424422e-32
6.3,5.79229638938124e-32
6.4,5.79161444396768e-32
6.5,5.79093250804591e-32
6.6,5.79025058165832e-32
6.7,5.78956866484738e-32
6.8,5.78888675765559e-32
6.9,5.7882048601255e-32
7,5.78752297229972e-32
7.1,5.7868410942209e-32
7.2,5.78615922593174e-32
7.3,5.785477367475e-32
7.4,5.78479551889346e-32
7.5,5.78411368023e-32
7.6,5.7834318515275e-32
7.7,5.78275003282891e-32
7.8,5.78206822417725e-32
7.9,5.78138642561555e-32
8,5.78070463718691e-32
8.1,5.7800228589345e-32
8.2,5.77934109090149e-32
8.3,5.77865933313116e-32
8.4,5.77797758566679e-32
8.5,5.77729584855174e-32
8.6,5.77661412182941e-32
8.7,5.77593240554325e-32
8.8,5.77525069973676e-32
8.9,5.77456900445349e-32
9,5.77388731973704e-32
9.1,5.77320564563107e-32
9.2,5.77252398217928e-32
9.3,5.77184232942543e-32
9.4,5.77116068741332e-32
9.5,5.7704790561868e-32
9.6,5.76979743578978e-32
9.7,5.76911582626622e-32
9.8,5.76843422766012e-32
9.9,5.76775264001556e-32
10,5.76707106337662e-32
10.1,5.76638949778749e-32
10.2,5.76570794329236e-32
10.3,5.76502639993551e-32
10.4,5.76434486776125e-32
10.5,5.76366334681394e-32
10.6,5.76298183713801e-32
10.7,5.76230033877792e-32
10.8,5.76161885177819e-32
10.9,5.76093737618339e-32
11,5.76025591203816e-32
11.1,5.75957445938716e-32
