Energía,Cuentas/canal
0,223.0
1,83.0
2,109.0
3,110.0
4,111.0
5,106.0
6,139.0
7,118.0
8,108.0
9,118.0
10,105.0
11,125.0
12,106.0
13,112.0
14,135.0
15,109.0
16,113.0
17,129.0
18,115.0
19,121.0
20,142.0
21,108.0
22,124.0
23,128.0
24,126.0
25,121.0
26,130.0
27,134.0
28,159.0
29,137.0
30,155.0
31,139.0
32,148.0
33,131.0
34,146.0
35,150.0
36,150.0
37,152.0
38,121.0
39,132.0
40,147.0
41,146.0
42,167.0
43,150.0
44,143.0
45,155.0
46,164.0
47,148.0
48,167.0
49,149.0
50,170.0
51,137.0
52,160.0
53,149.0
54,155.0
55,157.0
56,161.0
57,153.0
58,166.0
59,147.0
60,164.0
61,164.0
62,151.0
63,167.0
64,170.0
65,154.0
66,182.0
67,157.0
68,183.0
69,199.0
70,162.0
71,154.0
72,182.0
73,170.0
74,170.0
75,203.0
76,158.0
77,184.0
78,195.0
79,217.0
80,172.0
81,181.0
82,172.0
83,180.0
84,202.0
85,171.0
86,180.0
87,178.0
88,152.0
89,170.0
90,183.0
91,187.0
92,206.0
93,215.0
94,163.0
95,187.0
96,173.0
97,184.0
98,220.0
99,196.0
100,198.0
101,183.0
102,186.0
103,193.0
104,179.0
105,179.0
106,205.0
107,173.0
108,194.0
109,185.0
110,183.0
111,186.0
112,169.0
113,187.0
114,188.0
115,189.0
116,196.0
117,216.0
118,179.0
119,182.0
120,190.0
121,167.0
122,185.0
123,182.0
124,209.0
125,197.0
126,209.0
127,198.0
128,183.0
129,195.0
130,176.0
131,178.0
132,197.0
133,188.0
134,208.0
135,188.0
136,187.0
137,178.0
138,182.0
139,192.0
140,175.0
141,183.0
142,188.0
143,183.0
144,190.0
145,187.0
146,188.0
147,184.0
148,193.0
149,198.0
150,177.0
151,194.0
152,185.0
153,183.0
154,179.0
155,178.0
156,196.0
157,166.0
158,161.0
159,173.0
160,166.0
161,194.0
162,210.0
163,175.0
164,191.0
165,174.0
166,175.0
167,190.0
168,165.0
169,179.0
170,187.0
171,192.0
172,169.0
173,163.0
174,174.0
175,185.0
176,202.0
177,174.0
178,196.0
179,172.0
180,203.0
181,183.0
182,175.0
183,207.0
184,201.0
185,206.0
186,175.0
187,169.0
188,175.0
189,196.0
190,205.0
191,198.0
192,185.0
193,173.0
194,187.0
195,172.0
196,193.0
197,188.0
198,188.0
199,170.0
200,191.0
201,194.0
202,159.0
203,172.0
204,170.0
205,173.0
206,180.0
207,178.0
208,190.0
209,181.0
210,176.0
211,171.0
212,197.0
213,171.0
214,184.0
215,189.0
216,187.0
217,184.0
218,160.0
219,185.0
220,181.0
221,181.0
222,196.0
223,155.0
224,185.0
225,176.0
226,173.0
227,170.0
228,175.0
229,171.0
230,193.0
231,179.0
232,201.0
233,192.0
234,192.0
235,187.0
236,185.0
237,178.0
238,185.0
239,186.0
240,177.0
241,188.0
242,180.0
243,156.0
244,175.0
245,176.0
246,159.0
247,182.0
248,176.0
249,169.0
250,159.0
251,198.0
252,172.0
253,197.0
254,163.0
255,161.0
256,210.0
257,175.0
258,169.0
259,169.0
260,188.0
261,186.0
262,179.0
263,173.0
264,153.0
265,165.0
266,165.0
267,162.0
268,169.0
269,158.0
270,164.0
271,156.0
272,159.0
273,152.0
274,171.0
275,166.0
276,184.0
277,164.0
278,182.0
279,179.0
280,161.0
281,168.0
282,158.0
283,157.0
284,177.0
285,158.0
286,175.0
287,174.0
288,170.0
289,174.0
290,191.0
291,204.0
292,186.0
293,170.0
294,153.0
295,184.0
296,181.0
297,172.0
298,166.0
299,186.0
300,177.0
301,180.0
302,173.0
303,153.0
304,140.0
305,166.0
306,168.0
307,175.0
308,180.0
309,185.0
310,189.0
311,152.0
312,169.0
313,181.0
314,174.0
315,166.0
316,199.0
317,186.0
318,174.0
319,174.0
320,201.0
321,171.0
322,187.0
323,182.0
324,187.0
325,197.0
326,178.0
327,187.0
328,179.0
329,174.0
330,177.0
331,184.0
332,168.0
333,188.0
334,169.0
335,164.0
336,202.0
337,163.0
338,195.0
339,200.0
340,167.0
341,187.0
342,164.0
343,209.0
344,206.0
345,198.0
346,180.0
347,170.0
348,177.0
349,206.0
350,202.0
351,224.0
352,206.0
353,188.0
354,178.0
355,218.0
356,210.0
357,178.0
358,201.0
359,216.0
360,189.0
361,201.0
362,191.0
363,194.0
364,199.0
365,211.0
366,190.0
367,202.0
368,195.0
369,189.0
370,152.0
371,202.0
372,203.0
373,220.0
374,199.0
375,189.0
376,218.0
377,190.0
378,201.0
379,208.0
380,167.0
381,194.0
382,217.0
383,221.0
384,189.0
385,211.0
386,200.0
387,193.0
388,222.0
389,196.0
390,190.0
391,229.0
392,223.0
393,233.0
394,224.0
395,215.0
396,223.0
397,209.0
398,205.0
399,231.0
400,202.0
401,210.0
402,200.0
403,247.0
404,199.0
405,226.0
406,229.0
407,214.0
408,227.0
409,261.0
410,227.0
411,206.0
412,224.0
413,201.0
414,223.0
415,217.0
416,235.0
417,257.0
418,234.0
419,221.0
420,206.0
421,225.0
422,195.0
423,223.0
424,230.0
425,221.0
426,238.0
427,252.0
428,231.0
429,219.0
430,220.0
431,211.0
432,206.0
433,219.0
434,253.0
435,217.0
436,199.0
437,244.0
438,187.0
439,231.0
440,199.0
441,199.0
442,224.0
443,217.0
444,167.0
445,247.0
446,213.0
447,190.0
448,200.0
449,176.0
450,202.0
451,191.0
452,183.0
453,194.0
454,207.0
455,197.0
456,188.0
457,180.0
458,190.0
459,197.0
460,208.0
461,170.0
462,171.0
