Canal,Cuentas
0,0.0
1,249.0
2,246.0
3,267.0
4,255.0
5,242.0
6,256.0
7,263.0
8,260.0
9,237.0
10,228.0
11,254.0
12,285.0
13,254.0
14,250.0
15,269.0
16,272.0
17,268.0
18,258.0
19,258.0
20,265.0
21,245.0
22,265.0
23,243.0
24,253.0
25,256.0
26,268.0
27,241.0
28,267.0
29,255.0
30,245.0
31,245.0
32,236.0
33,249.0
34,264.0
35,237.0
36,237.0
37,234.0
38,251.0
39,255.0
40,259.0
41,249.0
42,254.0
43,271.0
44,241.0
45,249.0
46,230.0
47,250.0
48,253.0
49,245.0
50,270.0
51,241.0
52,264.0
53,232.0
54,229.0
55,250.0
56,233.0
57,255.0
58,264.0
59,255.0
60,262.0
61,249.0
62,290.0
63,246.0
64,228.0
65,238.0
66,283.0
67,244.0
68,261.0
69,271.0
70,259.0
71,246.0
72,215.0
73,237.0
74,235.0
75,223.0
76,250.0
77,223.0
78,233.0
79,235.0
80,180.0
81,235.0
82,247.0
83,263.0
84,253.0
85,254.0
86,237.0
87,232.0
88,231.0
89,263.0
90,238.0
91,260.0
92,233.0
93,268.0
94,259.0
95,240.0
96,257.0
97,245.0
98,250.0
99,226.0
100,239.0
101,236.0
102,245.0
103,201.0
104,240.0
105,251.0
106,232.0
107,257.0
108,241.0
109,242.0
110,201.0
111,226.0
112,210.0
113,242.0
114,233.0
115,214.0
116,231.0
117,212.0
118,255.0
119,214.0
120,213.0
121,213.0
122,238.0
123,251.0
124,216.0
125,254.0
126,208.0
127,238.0
128,198.0
129,184.0
130,222.0
131,241.0
132,220.0
133,226.0
134,238.0
135,248.0
136,214.0
137,225.0
138,215.0
139,226.0
140,240.0
141,254.0
142,232.0
143,219.0
144,234.0
145,220.0
146,191.0
147,230.0
148,234.0
149,214.0
150,238.0
151,219.0
152,234.0
153,224.0
154,230.0
155,212.0
156,238.0
157,224.0
158,243.0
159,212.0
160,227.0
161,204.0
162,220.0
163,213.0
164,227.0
165,237.0
166,226.0
167,206.0
168,241.0
169,226.0
170,220.0
171,216.0
172,206.0
173,215.0
174,213.0
175,204.0
176,217.0
177,229.0
178,214.0
179,236.0
180,223.0
181,211.0
182,216.0
183,201.0
184,208.0
185,204.0
186,194.0
187,199.0
188,228.0
189,205.0
190,203.0
191,202.0
192,204.0
193,200.0
194,220.0
195,242.0
196,225.0
197,209.0
198,188.0
199,200.0
200,223.0
201,206.0
202,187.0
203,205.0
204,214.0
205,202.0
206,242.0
207,230.0
208,189.0
209,211.0
210,209.0
211,205.0
212,217.0
213,230.0
214,213.0
215,185.0
216,198.0
217,215.0
218,196.0
219,201.0
220,223.0
221,192.0
222,212.0
223,218.0
224,193.0
225,206.0
226,208.0
227,203.0
228,190.0
229,208.0
230,200.0
231,227.0
232,211.0
233,179.0
234,203.0
235,225.0
236,213.0
237,183.0
238,231.0
239,184.0
240,223.0
241,197.0
242,216.0
243,200.0
244,203.0
245,223.0
246,190.0
247,205.0
248,186.0
249,201.0
250,201.0
251,183.0
252,198.0
253,212.0
254,198.0
255,170.0
256,193.0
257,208.0
258,202.0
259,188.0
260,186.0
261,197.0
262,198.0
263,230.0
264,192.0
265,186.0
266,195.0
267,194.0
268,221.0
269,209.0
270,188.0
271,201.0
272,164.0
273,187.0
274,216.0
275,205.0
276,181.0
277,212.0
278,191.0
279,187.0
280,214.0
281,213.0
282,200.0
283,211.0
284,219.0
285,175.0
286,227.0
287,192.0
288,218.0
289,216.0
290,203.0
291,205.0
292,200.0
293,205.0
294,183.0
295,217.0
296,198.0
297,201.0
298,195.0
299,206.0
300,209.0
301,197.0
302,192.0
303,189.0
304,201.0
305,226.0
306,211.0
307,209.0
308,223.0
309,203.0
310,208.0
311,191.0
312,194.0
313,199.0
314,204.0
315,195.0
316,243.0
317,207.0
318,211.0
319,208.0
320,203.0
321,218.0
322,204.0
323,200.0
324,185.0
325,216.0
326,215.0
327,215.0
328,204.0
329,181.0
330,195.0
331,198.0
332,211.0
333,220.0
334,218.0
335,196.0
336,200.0
337,216.0
338,176.0
339,199.0
340,196.0
341,232.0
342,219.0
343,245.0
344,222.0
345,201.0
346,234.0
347,207.0
348,234.0
349,245.0
350,226.0
351,195.0
352,209.0
353,217.0
354,200.0
355,224.0
356,221.0
357,227.0
358,220.0
359,222.0
360,226.0
361,227.0
362,215.0
363,201.0
364,214.0
365,220.0
366,213.0
367,187.0
368,221.0
369,234.0
370,239.0
371,235.0
372,261.0
373,231.0
374,223.0
375,232.0
376,224.0
377,229.0
378,250.0
379,233.0
380,229.0
381,216.0
382,247.0
383,281.0
384,267.0
385,219.0
386,236.0
387,238.0
388,250.0
389,239.0
390,243.0
391,252.0
392,289.0
393,243.0
394,272.0
395,268.0
396,263.0
397,243.0
398,258.0
399,255.0
400,232.0
401,278.0
402,256.0
403,252.0
404,293.0
405,295.0
406,291.0
407,272.0
408,301.0
409,252.0
410,261.0
411,319.0
412,323.0
413,302.0
414,254.0
415,288.0
416,300.0
417,258.0
418,255.0
419,312.0
420,328.0
421,307.0
422,292.0
423,316.0
424,331.0
425,350.0
426,289.0
427,297.0
428,291.0
429,307.0
430,321.0
431,313.0
432,323.0
433,307.0
434,342.0
435,304.0
436,340.0
437,319.0
438,370.0
439,348.0
440,348.0
441,354.0
442,354.0
443,359.0
444,370.0
445,360.0
446,356.0
447,355.0
448,370.0
449,383.0
450,378.0
451,382.0
452,377.0
453,419.0
454,367.0
455,400.0
456,398.0
457,453.0
458,378.0
459,433.0
460,405.0
461,448.0
462,440.0
463,460.0
464,460.0
465,442.0
466,457.0
467,482.0
468,470.0
469,487.0
470,476.0
471,436.0
472,481.0
473,471.0
474,459.0
475,498.0
476,509.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
